station_id,capacity,station_code,station_name,lcd_racks,qr_racks,operation_type,capacity_source
ST-954,10,2356.0, 강남구청,,10.0,QR,seoul_open_data
ST-953,5,2354.0, 청담역 2번출구,5.0,,LCD,seoul_open_data
ST-952,12,2156.0, 신림푸르지오아파트,12.0,,LCD,seoul_open_data
ST-951,10,2139.0, 서울신성초등학교,10.0,,LCD,seoul_open_data
ST-950,9,2110.0, 조원동 미성아파트,9.0,,LCD,seoul_open_data
ST-95,10,415.0, DMC역 9번출구 앞,,10.0,QR,seoul_open_data
ST-949,10,2265.0, 이수고가차도 남단,10.0,,LCD,seoul_open_data
ST-948,9,1501.0," 미아역 3번,4번 출구 사이",9.0,,LCD,seoul_open_data
ST-947,15,1305.0, 성북구청,15.0,,LCD,seoul_open_data
ST-946,20,826.0, 서울역 서부교차로2,20.0,,LCD,seoul_open_data
ST-945,20,,,,,,fallback_20
ST-944,12,390.0, 충무로역 1번출구,12.0,,LCD,seoul_open_data
ST-943,10,389.0, 을지로4가역 1번출구,10.0,,LCD,seoul_open_data
ST-942,10,1440.0, 면목2동 사거리,10.0,,LCD,seoul_open_data
ST-941,10,449.0, 일성아파트,10.0,,LCD,seoul_open_data
ST-940,20,,,,,,fallback_20
ST-94,8,414.0, 상암동주민센터 옆,,8.0,QR,seoul_open_data
ST-939,6,447.0, 신영동삼거리,,6.0,QR,seoul_open_data
ST-938,13,446.0, 상명대입구,13.0,,LCD,seoul_open_data
ST-937,20,,,,,,fallback_20
ST-936,10,1955.0, 디지털입구 교차로,10.0,,LCD,seoul_open_data
ST-935,9,2264.0, 이수역 1번출구,9.0,,LCD,seoul_open_data
ST-934,20,,,,,,fallback_20
ST-933,10,1221.0, 삼전역 4번출구,10.0,,LCD,seoul_open_data
ST-932,10,2026.0, 흑석역 4번출구,10.0,,LCD,seoul_open_data
ST-931,10,1303.0, 돈암초교 입구,10.0,,LCD,seoul_open_data
ST-930,10,1204.0, 거여역 3번출구,10.0,,LCD,seoul_open_data
ST-93,20,417.0, DMC역 2번출구 옆,,20.0,QR,seoul_open_data
ST-929,20,,,,,,fallback_20
ST-928,10,2215.0, 반포종합운동장 입구,10.0,,LCD,seoul_open_data
ST-927,10,2211.0, 서초구립반포도서관 앞,10.0,,LCD,seoul_open_data
ST-926,20,,,,,,fallback_20
ST-925,10,2203.0, 청계산입구역 2번출구,10.0,,LCD,seoul_open_data
ST-924,20,2034.0, 사당역 7번출구쪽,20.0,,LCD,seoul_open_data
ST-923,10,2032.0, 이수역 11번출구쪽,10.0,,LCD,seoul_open_data
ST-922,20,,,,,,fallback_20
ST-921,20,,,,,,fallback_20
ST-920,10,1931.0, 개봉역2번출구 A,10.0,,LCD,seoul_open_data
ST-92,10,413.0, 상암월드컵파크 3단지 후문,,10.0,QR,seoul_open_data
ST-919,20,1925.0, 동양미래대학교 정문 옆,20.0,,LCD,seoul_open_data
ST-918,10,1914.0, 대림역4번출구,10.0,,LCD,seoul_open_data
ST-917,20,,,,,,fallback_20
ST-916,10,1706.0, 방학동우체국 건너편,10.0,,LCD,seoul_open_data
ST-915,12,1627.0, 수락산역 4번출구,,12.0,QR,seoul_open_data
ST-914,20,1625.0,상계역 3번출구,20.0,,LCD,seoul_open_data
ST-913,13,1602.0, 광운대역 앞,13.0,,LCD,seoul_open_data
ST-912,10,1411.0, 상봉시장앞 교차로 한성빌딩 앞,10.0,,LCD,seoul_open_data
ST-911,20,,,,,,fallback_20
ST-910,10,1328.0, 월곡역 3번출구,10.0,,LCD,seoul_open_data
ST-91,21,412.0, DMC산학협력연구센터 앞,,21.0,QR,seoul_open_data
ST-909,20,,,,,,fallback_20
ST-908,25,1248.0, 방이초등학교,25.0,,LCD,seoul_open_data
ST-907,15,1247.0, 문정 법조단지11,,15.0,QR,seoul_open_data
ST-906,30,1246.0, 문정 법조단지10,30.0,,LCD,seoul_open_data
ST-905,10,1245.0, 문정 법조단지9,10.0,,LCD,seoul_open_data
ST-904,11,1244.0, 문정 법조단지8,11.0,,LCD,seoul_open_data
ST-903,29,1243.0, 문정 법조단지7,,29.0,QR,seoul_open_data
ST-902,20,,,,,,fallback_20
ST-901,20,,,,,,fallback_20
ST-900,10,1240.0, 문정 법조단지4,10.0,,LCD,seoul_open_data
ST-90,10,411.0, DMC홍보관,,10.0,QR,seoul_open_data
ST-9,5,107.0, 신한은행 서교동지점,,5.0,QR,seoul_open_data
ST-899,20,,,,,,fallback_20
ST-898,20,,,,,,fallback_20
ST-897,20,,,,,,fallback_20
ST-896,10,1228.0, 마천사거리,10.0,,LCD,seoul_open_data
ST-895,10,1227.0, 거여역 8번출구 뒤,10.0,,LCD,seoul_open_data
ST-894,10,1226.0, 잠실4동 주민센터 옆,10.0,,LCD,seoul_open_data
ST-893,20,,,,,,fallback_20
ST-892,20,,,,,,fallback_20
ST-891,30,1210.0, 롯데월드타워(잠실역2번출구 쪽),30.0,,LCD,seoul_open_data
ST-890,25,2252.0, 잔디마을 마을버스 정류장,,25.0,QR,seoul_open_data
ST-89,20,418.0, 월드컵경기장역 3번출구 옆,,20.0,QR,seoul_open_data
ST-889,10,2246.0, 서울시 품질시험소 앞,,10.0,QR,seoul_open_data
ST-888,20,,,,,,fallback_20
ST-887,10,2148.0, 낙성대역 3번출구 뒤,10.0,,LCD,seoul_open_data
ST-886,10,2143.0, 서울산업정보학교,10.0,,LCD,seoul_open_data
ST-885,20,,,,,,fallback_20
ST-884,10,2119.0, 중앙동 동진빌딩,,10.0,QR,seoul_open_data
ST-883,20,2115.0, 관악구시설관리공단,20.0,,LCD,seoul_open_data
ST-882,22,2109.0, 은천로입구 가로공원,22.0,,LCD,seoul_open_data
ST-881,10,2250.0, 서초유치원 맞은편,10.0,,LCD,seoul_open_data
ST-880,20,,,,,,fallback_20
ST-88,10,410.0, 상암중학교 옆,,10.0,QR,seoul_open_data
ST-879,20,2263.0, 바우뫼문화복지회관,20.0,,LCD,seoul_open_data
ST-878,20,,,,,,fallback_20
ST-877,10,2003.0, 사육신공원앞,10.0,,LCD,seoul_open_data
ST-876,20,1953.0, 천왕역 4번출구 뒤,20.0,,LCD,seoul_open_data
ST-875,20,1952.0, 천왕연지타운2단지 앞,20.0,,LCD,seoul_open_data
ST-874,20,,,,,,fallback_20
ST-873,10,1946.0, 구로역 광장,10.0,,LCD,seoul_open_data
ST-872,10,1943.0, 온수역 북측,10.0,,LCD,seoul_open_data
ST-871,10,1941.0, 오류동역 2번출구,10.0,,LCD,seoul_open_data
ST-870,10,1936.0, 개봉역 1번 출구 자전거보관서쪽,10.0,,LCD,seoul_open_data
ST-87,21,419.0,홈플러스 마포점 앞,,21.0,QR,seoul_open_data
ST-869,20,,,,,,fallback_20
ST-868,20,,,,,,fallback_20
ST-867,20,,,,,,fallback_20
ST-866,10,1605.0, 헬스케어,10.0,,LCD,seoul_open_data
ST-865,20,,,,,,fallback_20
ST-864,20,,,,,,fallback_20
ST-863,20,,,,,,fallback_20
ST-862,20,1512.0, 강북중학교 앞,20.0,,LCD,seoul_open_data
ST-861,20,,,,,,fallback_20
ST-860,10,1510.0, 번동주공5단지 관리사무소 앞,10.0,,LCD,seoul_open_data
ST-86,30,409.0, 누리꿈스퀘어 옆,,30.0,QR,seoul_open_data
ST-859,10,1509.0, 서울북부수도사업소,10.0,,LCD,seoul_open_data
ST-857,10,1433.0, 중화역 2번출구,10.0,,LCD,seoul_open_data
ST-856,20,,,,,,fallback_20
ST-855,20,,,,,,fallback_20
ST-854,15,1429.0, 장안중학교,15.0,,LCD,seoul_open_data
ST-853,20,,,,,,fallback_20
ST-852,10,1427.0, 용마산역 1번출구,10.0,,LCD,seoul_open_data
ST-851,20,,,,,,fallback_20
ST-850,20,,,,,,fallback_20
ST-85,37,420.0, 서울시 공공자전거 상암센터,,37.0,QR,seoul_open_data
ST-849,10,1414.0, 사가정역 2번출구,,10.0,QR,seoul_open_data
ST-848,20,,,,,,fallback_20
ST-847,10,1407.0, 먹골역 1번출구 뒤,10.0,,LCD,seoul_open_data
ST-846,20,,,,,,fallback_20
ST-845,20,,,,,,fallback_20
ST-843,20,,,,,,fallback_20
ST-842,10,1306.0, 한성대입구역2번출구,,10.0,QR,seoul_open_data
ST-841,20,,,,,,fallback_20
ST-840,13,1231.0, 잠실역 6번출구,,13.0,QR,seoul_open_data
ST-84,14,408.0, LG CNS앞,,14.0,QR,seoul_open_data
ST-839,10,1212.0, 송파역 2번 출구앞,10.0,,LCD,seoul_open_data
ST-838,15,1201.0, 가락시장역 3번 출구,15.0,,LCD,seoul_open_data
ST-837,20,,,,,,fallback_20
ST-836,20,,,,,,fallback_20
ST-835,20,,,,,,fallback_20
ST-834,10,1117.0, 등촌5단지아파트 버스정류장,10.0,,LCD,seoul_open_data
ST-833,20,,,,,,fallback_20
ST-832,20,,,,,,fallback_20
ST-831,10,1103.0, 방화역 4번출구앞,,10.0,QR,seoul_open_data
ST-830,15,1018.0, 둔촌 주공 GS 맞은편,,15.0,QR,seoul_open_data
ST-83,8,407.0, 마포구 육아종합지원센터,,8.0,QR,seoul_open_data
ST-829,10,1128.0, 화곡역 6번출구,10.0,,LCD,seoul_open_data
ST-828,15,1110.0, 공항중학교앞,,15.0,QR,seoul_open_data
ST-827,16,1308.0, 안암로터리 버스정류장 앞,16.0,,LCD,seoul_open_data
ST-826,10,1304.0, 만해공원,10.0,,LCD,seoul_open_data
ST-825,5,1302.0, 한성대입구역6번출구 뒤,5.0,,LCD,seoul_open_data
ST-824,10,1106.0, 신방화사거리,,10.0,QR,seoul_open_data
ST-823,15,2342.0, 대청역 1번출구 뒤,15.0,,LCD,seoul_open_data
ST-822,10,2341.0, 일원역 4~5번 출구 사이,10.0,,LCD,seoul_open_data
ST-821,17,2340.0, 삼호물산버스정류장(23370) 옆,,17.0,QR,seoul_open_data
ST-820,10,2339.0, 현대아파트 정문 앞,10.0,,LCD,seoul_open_data
ST-82,8,421.0, 마포구청 앞,,8.0,QR,seoul_open_data
ST-819,10,2336.0, 강남세브란스교차로 래미안그레이튼 104동 앞,10.0,,LCD,seoul_open_data
ST-818,15,2335.0, 3호선 매봉역 3번출구앞,,15.0,QR,seoul_open_data
ST-817,20,,,,,,fallback_20
ST-816,15,2333.0, 양재역 3번출구 주변,15.0,,LCD,seoul_open_data
ST-815,8,2332.0, 선릉역3번출구,8.0,,LCD,seoul_open_data
ST-814,10,2331.0, 동영문화센터앞,10.0,,LCD,seoul_open_data
ST-813,10,2330.0, 역삼월드메르디앙아파트 앞,10.0,,LCD,seoul_open_data
ST-812,10,2329.0, 르네상스호텔사거리 역삼지하보도 2번출구,10.0,,LCD,seoul_open_data
ST-811,10,2328.0, 르네상스 호텔 사거리 역삼지하보도 7번출구 앞,10.0,,LCD,seoul_open_data
ST-810,15,2327.0, 뱅뱅사거리 랜드마크타워 앞,15.0,,LCD,seoul_open_data
ST-81,15,406.0, 상암월드컵파크 7단지 앞,,15.0,QR,seoul_open_data
ST-809,10,2326.0, 대치동 삼성로,10.0,,LCD,seoul_open_data
ST-808,10,2325.0, 대치삼성아파트 앞 교차로,10.0,,LCD,seoul_open_data
ST-807,10,2324.0, 천주교 대치 2동 교회 옆,10.0,,LCD,seoul_open_data
ST-806,20,,,,,,fallback_20
ST-805,20,,,,,,fallback_20
ST-804,10,2321.0, 학여울역 사거리,10.0,,LCD,seoul_open_data
ST-803,10,2320.0, 도곡역 대치지구대 방향,10.0,,LCD,seoul_open_data
ST-802,10,2319.0, 포스코사거리 서측(수협 삼성동 지점),10.0,,LCD,seoul_open_data
ST-801,16,2318.0, 삼성중앙역4번출구(문화센터더 리빌),16.0,,LCD,seoul_open_data
ST-800,20,,,,,,fallback_20
ST-80,8,405.0, DMC빌 앞,,8.0,QR,seoul_open_data
ST-8,12,106.0, 합정역 7번출구 앞,,12.0,QR,seoul_open_data
ST-799,10,2315.0, 봉은사역 5번출구 옆,10.0,,LCD,seoul_open_data
ST-798,10,2314.0, 청담나들목입구,10.0,,LCD,seoul_open_data
ST-797,23,2348.0, 포스코사거리(기업은행),,23.0,QR,seoul_open_data
ST-796,10,2313.0, 금원빌딩 앞,10.0,,LCD,seoul_open_data
ST-795,10,2312.0, 청담역 13번 출구 앞,10.0,,LCD,seoul_open_data
ST-794,10,2310.0, 청담동 맥도날드 옆(위치),10.0,,LCD,seoul_open_data
ST-793,14,2308.0, 압구정파출소 앞,14.0,,LCD,seoul_open_data
ST-792,10,2307.0, 압구정 한양 3차 아파트,10.0,,LCD,seoul_open_data
ST-791,26,2306.0, 압구정역 2번 출구 옆,26.0,,LCD,seoul_open_data
ST-790,6,2305.0, MCM 본사 직영점 앞,6.0,,LCD,seoul_open_data
ST-79,20,,,,,,fallback_20
ST-789,10,2304.0, 대현그린타워,,10.0,QR,seoul_open_data
ST-788,15,2303.0, 논현역 10번출구,15.0,,LCD,seoul_open_data
ST-787,10,2302.0, 교보타워 버스정류장(신논현역 3번출구 후면),10.0,,LCD,seoul_open_data
ST-786,6,2311.0, 학동로 래미안 아파트 앞,6.0,,LCD,seoul_open_data
ST-785,20,,,,,,fallback_20
ST-784,10,2317.0, 삼성도로공원,10.0,,LCD,seoul_open_data
ST-783,10,2309.0, 청담역(우리들병원 앞),10.0,,LCD,seoul_open_data
ST-782,10,2337.0, 대모산입구역 2번출구 앞,10.0,,LCD,seoul_open_data
ST-781,20,,,,,,fallback_20
ST-780,15,2259.0, 잠원역 3번-4번 출구사이,15.0,,LCD,seoul_open_data
ST-78,20,403.0, 부엉이공원 앞,,20.0,QR,seoul_open_data
ST-779,10,2344.0, 리엔파크 2단지 앞,10.0,,LCD,seoul_open_data
ST-778,20,,,,,,fallback_20
ST-777,10,2301.0, 현대고등학교 건너편,10.0,,LCD,seoul_open_data
ST-776,20,,,,,,fallback_20
ST-775,20,,,,,,fallback_20
ST-774,20,,,,,,fallback_20
ST-773,20,,,,,,fallback_20
ST-772,25,2255.0,양재시민의숲역(매헌) 1번출구,25.0,,LCD,seoul_open_data
ST-771,30,2247.0,섬들근린공원,30.0,,LCD,seoul_open_data
ST-770,20,2245.0,양재초등학교 맞은편,20.0,,LCD,seoul_open_data
ST-77,20,402.0, 상암월드컵파크 9단지 앞,,20.0,QR,seoul_open_data
ST-769,20,2244.0,교육개발원입구 교차로,,20.0,QR,seoul_open_data
ST-768,15,2243.0,서울가정법원,15.0,,LCD,seoul_open_data
ST-767,20,2242.0,양재역 11번 출구 앞,20.0,,LCD,seoul_open_data
ST-766,6,2241.0,양재전화국 사거리,6.0,,LCD,seoul_open_data
ST-765,10,2239.0,교대역 6번출구,10.0,,LCD,seoul_open_data
ST-764,20,2237.0,서울남부터미널 대합실 입구,20.0,,LCD,seoul_open_data
ST-763,10,2235.0,KT 서초지사 앞,10.0,,LCD,seoul_open_data
ST-762,13,2233.0, 서초신동아1차아파트 옆,13.0,,LCD,seoul_open_data
ST-761,17,2231.0, 삼성타운(삼성생명) A동 맞은편,17.0,,LCD,seoul_open_data
ST-760,20,2230.0,이수역 4번 출구,20.0,,LCD,seoul_open_data
ST-76,13,401.0, 상암월드컵파크 10단지 앞,,13.0,QR,seoul_open_data
ST-759,10,2229.0,로고스교회 맞은 편,10.0,,LCD,seoul_open_data
ST-758,15,2228.0,뒷벌공원 옆,,15.0,QR,seoul_open_data
ST-757,15,2227.0,방배열린문화센터 앞,15.0,,LCD,seoul_open_data
ST-756,10,2226.0, 신동아럭스빌아파트 앞,10.0,,LCD,seoul_open_data
ST-755,20,,,,,,fallback_20
ST-754,15,2223.0, 방배래미안 정문 앞,15.0,,LCD,seoul_open_data
ST-753,10,2222.0,사당역 12번출구 뒤,10.0,,LCD,seoul_open_data
ST-752,15,2221.0, 방일초교 마을버스 정류장,15.0,,LCD,seoul_open_data
ST-751,20,,,,,,fallback_20
ST-750,20,2219.0," 고속터미널역 8-1번, 8-2번 출구 사이",20.0,,LCD,seoul_open_data
ST-749,20,2217.0,아크로리버뷰 부지 앞,20.0,,LCD,seoul_open_data
ST-748,15,2214.0, 신반포역 2번출구 앞,15.0,,LCD,seoul_open_data
ST-747,20,2213.0, 고속터미널역 5번출구 앞,20.0,,LCD,seoul_open_data
ST-746,14,2212.0,서초현대4차아파트 201동 맞은편,14.0,,LCD,seoul_open_data
ST-745,10,2210.0, 반포1동 주민센터 앞,10.0,,LCD,seoul_open_data
ST-744,20,2206.0, 언남초등학교 앞,20.0,,LCD,seoul_open_data
ST-743,15,2205.0, 내곡3단지 어린이공원 앞,15.0,,LCD,seoul_open_data
ST-742,20,2202.0,청계산입구역 1번출구,20.0,,LCD,seoul_open_data
ST-741,20,,,,,,fallback_20
ST-740,20,,,,,,fallback_20
ST-74,20,,,,,,fallback_20
ST-739,20,,,,,,fallback_20
ST-738,10,1207.0, 마천중앙시장,10.0,,LCD,seoul_open_data
ST-737,20,1203.0, 밀리아나2빌딩 앞,20.0,,LCD,seoul_open_data
ST-736,20,,,,,,fallback_20
ST-735,10,1608.0, 공릉역 1번 출구 앞,10.0,,LCD,seoul_open_data
ST-734,20,,,,,,fallback_20
ST-733,10,2056.0, 동작구민 체육센터,10.0,,LCD,seoul_open_data
ST-732,10,2048.0, 삼일초등학교 인근,10.0,,LCD,seoul_open_data
ST-731,7,2041.0, 사당중학교 버스정류소,7.0,,LCD,seoul_open_data
ST-730,20,,,,,,fallback_20
ST-73,46,207.0, 여의나루역 1번출구 앞,,46.0,QR,seoul_open_data
ST-729,10,2033.0, 사당동 아르테스 웨딩앞,10.0,,LCD,seoul_open_data
ST-728,20,2015.0, 신대방삼거리역 6번출구쪽,20.0,,LCD,seoul_open_data
ST-727,10,2012.0, 대림사거리(동작상떼빌아파트),10.0,,LCD,seoul_open_data
ST-726,10,2009.0, 보라매역 8번출구,10.0,,LCD,seoul_open_data
ST-725,12,2145.0, 은천초등학교 육교,12.0,,LCD,seoul_open_data
ST-724,20,2140.0, 신림1교 교차로,,20.0,QR,seoul_open_data
ST-723,10,2137.0, KT&G 관악지점,10.0,,LCD,seoul_open_data
ST-722,10,2130.0, 영어마을 관악캠프,10.0,,LCD,seoul_open_data
ST-721,20,,,,,,fallback_20
ST-720,12,2128.0, 관악구청교차로,,12.0,QR,seoul_open_data
ST-72,19,226.0, 샛강역 1번출구 앞,,19.0,QR,seoul_open_data
ST-719,20,2122.0, 낙성대로 입구,20.0,,LCD,seoul_open_data
ST-718,20,,,,,,fallback_20
ST-717,9,2116.0, 에이스에이존빌딩,9.0,,LCD,seoul_open_data
ST-716,20,,,,,,fallback_20
ST-715,15,2112.0, 서울대입구역 마에스트로,15.0,,LCD,seoul_open_data
ST-714,20,2108.0, 은천치안센터,,20.0,QR,seoul_open_data
ST-713,20,,,,,,fallback_20
ST-712,13,2104.0, 사당역 5번출구,13.0,,LCD,seoul_open_data
ST-711,20,,,,,,fallback_20
ST-710,20,,,,,,fallback_20
ST-71,26,225.0, 앙카라공원 앞,,26.0,QR,seoul_open_data
ST-709,15,2144.0, 난우길입구,15.0,,LCD,seoul_open_data
ST-708,20,,,,,,fallback_20
ST-707,10,2127.0, 난곡종점,10.0,,LCD,seoul_open_data
ST-706,20,,,,,,fallback_20
ST-705,12,2106.0, 세이브마트,12.0,,LCD,seoul_open_data
ST-704,12,2105.0, 미성동 신림체육센터,12.0,,LCD,seoul_open_data
ST-703,10,2103.0, 신림동 우방아파트,10.0,,LCD,seoul_open_data
ST-702,13,2102.0, 봉림교 교통섬,13.0,,LCD,seoul_open_data
ST-701,10,2057.0, 상도 아이파크 아파트,10.0,,LCD,seoul_open_data
ST-700,10,2054.0, 삼익아파트,10.0,,LCD,seoul_open_data
ST-70,20,224.0, 롯데캐슬 앞,,20.0,QR,seoul_open_data
ST-7,5,105.0, 합정역 5번출구 앞,,5.0,QR,seoul_open_data
ST-699,15,2050.0, 노량진역 5번출구,15.0,,LCD,seoul_open_data
ST-698,20,,,,,,fallback_20
ST-697,10,2040.0, 비계 버스정류소,10.0,,LCD,seoul_open_data
ST-696,10,2038.0, 동작역 7번출구,10.0,,LCD,seoul_open_data
ST-695,20,2037.0, 동작역 5번출구 동작주차공원,20.0,,LCD,seoul_open_data
ST-694,12,2036.0, 정금마을 마을버스정류장,12.0,,LCD,seoul_open_data
ST-693,15,2027.0, 중앙대학교 정문 1,15.0,,LCD,seoul_open_data
ST-692,20,2025.0, 흑석역 1번출구,20.0,,LCD,seoul_open_data
ST-691,10,2024.0, 상도역 1번출구,10.0,,LCD,seoul_open_data
ST-690,10,2020.0, 장승배기역2번출구뒷편쪽,10.0,,LCD,seoul_open_data
ST-69,20,223.0, 진주아파트상가 앞,,20.0,QR,seoul_open_data
ST-689,20,,,,,,fallback_20
ST-688,10,2016.0, 신대방삼거리역 3번출구쪽,10.0,,LCD,seoul_open_data
ST-687,30,2013.0, 장승배기역 5번출구,30.0,,LCD,seoul_open_data
ST-686,10,2008.0, 노량진근린공원 대방공원,10.0,,LCD,seoul_open_data
ST-685,20,2007.0, 유한양행앞,20.0,,LCD,seoul_open_data
ST-684,20,,,,,,fallback_20
ST-683,17,2002.0, 노들역 1번출구,17.0,,LCD,seoul_open_data
ST-682,20,,,,,,fallback_20
ST-681,20,,,,,,fallback_20
ST-680,20,,,,,,fallback_20
ST-68,12,222.0, 시범아파트버스정류장 옆,,12.0,QR,seoul_open_data
ST-679,15,1937.0, 한진아파트 입구,15.0,,LCD,seoul_open_data
ST-678,16,1933.0, 개봉푸르지오아파트 상가,16.0,,LCD,seoul_open_data
ST-677,7,1930.0, 개봉지구대 개봉치안센터,7.0,,LCD,seoul_open_data
ST-676,10,1929.0, 고척근린공원 고척도서관 앞,,10.0,QR,seoul_open_data
ST-675,10,1928.0, 고척스카이돔구장 광장,10.0,,LCD,seoul_open_data
ST-674,10,1924.0, 삼부르네상스파크빌,10.0,,LCD,seoul_open_data
ST-673,14,1920.0, 서울미래초등학교 사거리,14.0,,LCD,seoul_open_data
ST-672,20,,,,,,fallback_20
ST-671,10,1916.0, 구로중학교앞,10.0,,LCD,seoul_open_data
ST-670,20,,,,,,fallback_20
ST-67,10,221.0, 여의도초교 앞,,10.0,QR,seoul_open_data
ST-669,13,1912.0, 한신휴아파트 앞,13.0,,LCD,seoul_open_data
ST-668,18,1911.0, 구로디지털단지역 앞,18.0,,LCD,seoul_open_data
ST-667,5,1910.0, 낙원교회 맞은편,5.0,,LCD,seoul_open_data
ST-666,12,1908.0, 해원리바파크 육교 밑,12.0,,LCD,seoul_open_data
ST-665,12,1907.0, 구일우성(아) 육교 밑,12.0,,LCD,seoul_open_data
ST-664,20,1906.0, 신도림역 1번 출구 앞,20.0,,LCD,seoul_open_data
ST-663,10,1904.0, 도림천역 1번 출구 앞,10.0,,LCD,seoul_open_data
ST-662,10,1901.0, 신도림동주민센터 앞,10.0,,LCD,seoul_open_data
ST-661,20,,,,,,fallback_20
ST-660,20,1827.0, 독산보도육교 앞 자전거 보관소,,20.0,QR,seoul_open_data
ST-66,15,217.0, NH농협은행 앞,,15.0,QR,seoul_open_data
ST-659,20,,,,,,fallback_20
ST-658,20,,,,,,fallback_20
ST-657,10,1703.0, 도봉산광역환승센터앞,10.0,,LCD,seoul_open_data
ST-656,20,,,,,,fallback_20
ST-655,14,1321.0, 국민은행 종암동지점 앞,14.0,,LCD,seoul_open_data
ST-654,20,,,,,,fallback_20
ST-653,20,,,,,,fallback_20
ST-652,10,1516.0, 우이초등학교 후문 옆,10.0,,LCD,seoul_open_data
ST-651,20,,,,,,fallback_20
ST-650,7,1520.0, 수유중앙시장,,7.0,QR,seoul_open_data
ST-65,20,,,,,,fallback_20
ST-649,20,,,,,,fallback_20
ST-648,20,,,,,,fallback_20
ST-647,20,,,,,,fallback_20
ST-646,20,,,,,,fallback_20
ST-645,15,1506.0, 강북문화예술회관,15.0,,LCD,seoul_open_data
ST-644,10,1504.0, 삼양시장오거리,10.0,,LCD,seoul_open_data
ST-643,20,,,,,,fallback_20
ST-642,10,1819.0, 금천구청 앞 자전거거치대,10.0,,LCD,seoul_open_data
